complaint_text,rating,date,source,product,company_size,user_id
We experience random crashes that disrupt workflow. We expected much better reliability.,1,2024-11-02,softwareadvice,Vision Helpdesk - Satellite Desk,,
Crashes happen often when updating tickets. This has impacted our daily operations.,2,2024-06-29,capterra,Vision Helpdesk - Help Desk,,
The system crashes frequently when handling tickets.,2,2024-05-28,g2,Vision Helpdesk - Live Chat,Enterprise,
App keeps freezing during normal usage. This has impacted our daily operations.,1,2023-06-24,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
The system crashes frequently when handling tickets. This has impacted our daily operations.,2,2023-06-21,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
The platform becomes unstable when multiple users are active. It’s very frustrating to deal with.,2,2024-10-06,softwareadvice,Vision Helpdesk - Service Desk,,
We experience random crashes that disrupt workflow. We expected much better reliability.,1,2024-02-13,capterra,Vision Helpdesk - Satellite Desk,Enterprise,
The system crashes frequently when handling tickets. We expected much better reliability.,1,2023-03-13,capterra,Vision Helpdesk - Help Desk,,
Crashes happen often when updating tickets. It’s very frustrating to deal with.,2,2024-08-20,g2,Vision Helpdesk - Live Chat,Mid-Market,
App keeps freezing during normal usage. It’s very frustrating to deal with.,1,2023-12-26,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,2,2023-11-25,capterra,Vision Helpdesk - Help Desk,Enterprise,
App keeps freezing during normal usage. This has impacted our daily operations.,2,2024-07-09,softwareadvice,Vision Helpdesk - Help Desk,Mid-Market,
App keeps freezing during normal usage.,1,2023-07-21,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
The system crashes frequently when handling tickets. We expected much better reliability.,1,2023-10-30,softwareadvice,Vision Helpdesk - Service Desk,,
We experience random crashes that disrupt workflow.,1,2024-08-04,softwareadvice,Vision Helpdesk - Live Chat,,
The system crashes frequently when handling tickets.,1,2023-11-07,softwareadvice,Vision Helpdesk - Help Desk,Small Business,
App keeps freezing during normal usage. This has impacted our daily operations.,1,2024-08-07,play_store,Vision Helpdesk - Service Desk,Mid-Market,
We experience random crashes that disrupt workflow. This has impacted our daily operations.,2,2023-02-22,capterra,Vision Helpdesk - Live Chat,Small Business,
We experience random crashes that disrupt workflow.,2,2023-05-20,play_store,Vision Helpdesk - Service Desk,Small Business,
App keeps freezing during normal usage. We expected much better reliability.,2,2023-02-16,softwareadvice,Vision Helpdesk - Satellite Desk,,
App keeps freezing during normal usage.,1,2023-02-12,g2,Vision Helpdesk - Service Desk,Small Business,
Crashes happen often when updating tickets. This has impacted our daily operations.,2,2024-02-27,g2,Vision Helpdesk - Service Desk,,
Crashes happen often when updating tickets.,1,2024-02-19,capterra,Vision Helpdesk - Help Desk,,
App keeps freezing during normal usage. We expected much better reliability.,1,2023-04-22,play_store,Vision Helpdesk - Help Desk,Mid-Market,
We experience random crashes that disrupt workflow. This has impacted our daily operations.,1,2024-05-01,capterra,Vision Helpdesk - Live Chat,Mid-Market,
The platform becomes unstable when multiple users are active.,2,2023-07-08,g2,Vision Helpdesk - Service Desk,Mid-Market,
The system crashes frequently when handling tickets.,2,2024-11-25,g2,Vision Helpdesk - Service Desk,,
App keeps freezing during normal usage.,1,2023-04-11,play_store,Vision Helpdesk - Service Desk,,
Crashes happen often when updating tickets. This has impacted our daily operations.,1,2024-09-25,g2,Vision Helpdesk - Service Desk,Enterprise,
We experience random crashes that disrupt workflow. We expected much better reliability.,2,2023-05-15,g2,Vision Helpdesk - Service Desk,Small Business,
The system crashes frequently when handling tickets.,2,2024-10-03,play_store,Vision Helpdesk - Live Chat,Enterprise,
App keeps freezing during normal usage.,1,2023-10-06,softwareadvice,Vision Helpdesk - Service Desk,Small Business,
Crashes happen often when updating tickets. It’s very frustrating to deal with.,2,2024-03-05,g2,Vision Helpdesk - Satellite Desk,Enterprise,
App keeps freezing during normal usage. It’s very frustrating to deal with.,1,2024-06-15,softwareadvice,Vision Helpdesk - Live Chat,Enterprise,
The platform becomes unstable when multiple users are active. We expected much better reliability.,2,2023-01-30,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
The platform becomes unstable when multiple users are active. We expected much better reliability.,1,2023-06-06,g2,Vision Helpdesk - Help Desk,Mid-Market,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,1,2024-01-31,softwareadvice,Vision Helpdesk - Service Desk,Enterprise,
The platform becomes unstable when multiple users are active.,1,2023-12-07,capterra,Vision Helpdesk - Live Chat,Mid-Market,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,1,2023-07-03,play_store,Vision Helpdesk - Help Desk,Mid-Market,
We experience random crashes that disrupt workflow. This has impacted our daily operations.,1,2024-09-08,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
App keeps freezing during normal usage. This has impacted our daily operations.,2,2024-07-18,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
The system crashes frequently when handling tickets. This has impacted our daily operations.,1,2024-01-20,g2,Vision Helpdesk - Satellite Desk,,
The platform becomes unstable when multiple users are active. We expected much better reliability.,2,2023-12-13,capterra,Vision Helpdesk - Live Chat,Mid-Market,
We experience random crashes that disrupt workflow. This has impacted our daily operations.,2,2024-04-15,play_store,Vision Helpdesk - Live Chat,Enterprise,
The platform becomes unstable when multiple users are active. This has impacted our daily operations.,2,2023-01-21,play_store,Vision Helpdesk - Service Desk,Small Business,
App keeps freezing during normal usage. This has impacted our daily operations.,2,2024-09-16,g2,Vision Helpdesk - Service Desk,Mid-Market,
The system crashes frequently when handling tickets. We expected much better reliability.,2,2024-11-28,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
Crashes happen often when updating tickets. We expected much better reliability.,2,2024-07-01,softwareadvice,Vision Helpdesk - Service Desk,Enterprise,
Crashes happen often when updating tickets.,1,2023-11-15,capterra,Vision Helpdesk - Satellite Desk,,
App keeps freezing during normal usage. It’s very frustrating to deal with.,2,2024-08-23,play_store,Vision Helpdesk - Service Desk,Small Business,
We experience random crashes that disrupt workflow. We expected much better reliability.,1,2024-10-15,g2,Vision Helpdesk - Live Chat,Small Business,
The system crashes frequently when handling tickets. We expected much better reliability.,1,2023-10-01,capterra,Vision Helpdesk - Service Desk,Enterprise,
Crashes happen often when updating tickets. This has impacted our daily operations.,1,2024-06-04,g2,Vision Helpdesk - Live Chat,Mid-Market,
App keeps freezing during normal usage. We expected much better reliability.,2,2023-11-27,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
The system crashes frequently when handling tickets.,2,2024-11-16,capterra,Vision Helpdesk - Service Desk,Enterprise,
App keeps freezing during normal usage. It’s very frustrating to deal with.,2,2024-03-02,play_store,Vision Helpdesk - Service Desk,Small Business,
We experience random crashes that disrupt workflow. We expected much better reliability.,1,2023-06-19,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
The platform becomes unstable when multiple users are active.,1,2023-07-21,softwareadvice,Vision Helpdesk - Live Chat,Small Business,
App keeps freezing during normal usage.,2,2023-09-03,g2,Vision Helpdesk - Service Desk,Mid-Market,
The platform becomes unstable when multiple users are active. We expected much better reliability.,1,2023-11-06,play_store,Vision Helpdesk - Live Chat,Enterprise,
Crashes happen often when updating tickets. We expected much better reliability.,1,2023-06-23,g2,Vision Helpdesk - Live Chat,Mid-Market,
We experience random crashes that disrupt workflow.,2,2024-05-26,g2,Vision Helpdesk - Satellite Desk,Small Business,
The system crashes frequently when handling tickets. We expected much better reliability.,2,2024-09-07,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,1,2024-05-25,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
The system crashes frequently when handling tickets. This has impacted our daily operations.,2,2023-04-18,capterra,Vision Helpdesk - Live Chat,,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,1,2023-11-10,g2,Vision Helpdesk - Service Desk,Enterprise,
Crashes happen often when updating tickets.,2,2023-06-04,capterra,Vision Helpdesk - Service Desk,Enterprise,
The platform becomes unstable when multiple users are active. This has impacted our daily operations.,1,2024-07-22,capterra,Vision Helpdesk - Help Desk,,
Crashes happen often when updating tickets. This has impacted our daily operations.,2,2023-05-26,g2,Vision Helpdesk - Help Desk,Enterprise,
Crashes happen often when updating tickets. We expected much better reliability.,2,2023-10-09,g2,Vision Helpdesk - Service Desk,Small Business,
The platform becomes unstable when multiple users are active. We expected much better reliability.,2,2023-11-27,capterra,Vision Helpdesk - Service Desk,Mid-Market,
App keeps freezing during normal usage.,1,2023-08-15,g2,Vision Helpdesk - Service Desk,Small Business,
Crashes happen often when updating tickets. This has impacted our daily operations.,2,2024-05-30,play_store,Vision Helpdesk - Help Desk,Mid-Market,
The platform becomes unstable when multiple users are active. We expected much better reliability.,2,2023-01-16,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
The platform becomes unstable when multiple users are active. We expected much better reliability.,2,2023-03-20,softwareadvice,Vision Helpdesk - Service Desk,Small Business,
We experience random crashes that disrupt workflow. We expected much better reliability.,2,2023-12-22,play_store,Vision Helpdesk - Help Desk,Small Business,
The system crashes frequently when handling tickets.,2,2023-06-07,softwareadvice,Vision Helpdesk - Help Desk,Enterprise,
We experience random crashes that disrupt workflow. We expected much better reliability.,1,2023-10-22,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,1,2024-10-02,g2,Vision Helpdesk - Help Desk,Mid-Market,
The system crashes frequently when handling tickets.,1,2024-02-17,g2,Vision Helpdesk - Live Chat,Mid-Market,
App keeps freezing during normal usage. It’s very frustrating to deal with.,2,2023-02-21,softwareadvice,Vision Helpdesk - Help Desk,Mid-Market,
The system crashes frequently when handling tickets. We expected much better reliability.,2,2024-03-14,play_store,Vision Helpdesk - Live Chat,Enterprise,
App keeps freezing during normal usage. We expected much better reliability.,2,2024-07-05,play_store,Vision Helpdesk - Help Desk,Enterprise,
The platform becomes unstable when multiple users are active.,2,2023-05-06,g2,Vision Helpdesk - Help Desk,,
App keeps freezing during normal usage.,1,2023-05-22,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
We experience random crashes that disrupt workflow.,2,2024-08-02,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
We experience random crashes that disrupt workflow. We expected much better reliability.,2,2023-01-10,capterra,Vision Helpdesk - Satellite Desk,,
Crashes happen often when updating tickets.,1,2024-12-02,play_store,Vision Helpdesk - Service Desk,,
The platform becomes unstable when multiple users are active. We expected much better reliability.,2,2024-08-02,g2,Vision Helpdesk - Live Chat,Enterprise,
We experience random crashes that disrupt workflow.,1,2023-03-17,play_store,Vision Helpdesk - Service Desk,Small Business,
Crashes happen often when updating tickets. This has impacted our daily operations.,2,2024-05-03,capterra,Vision Helpdesk - Service Desk,Small Business,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,1,2023-10-25,g2,Vision Helpdesk - Service Desk,,
Customer support is extremely slow to respond. We expected much better reliability.,2,2023-02-28,play_store,Vision Helpdesk - Help Desk,Enterprise,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,2,2023-02-28,capterra,Vision Helpdesk - Service Desk,,
Issues remain unresolved despite multiple follow-ups. It’s very frustrating to deal with.,2,2024-07-10,g2,Vision Helpdesk - Live Chat,,
Support is unhelpful and lacks product knowledge. It’s very frustrating to deal with.,1,2024-01-28,softwareadvice,Vision Helpdesk - Live Chat,,
Issues remain unresolved despite multiple follow-ups.,1,2024-09-22,g2,Vision Helpdesk - Live Chat,Small Business,
We had to wait days for a meaningful response. This has impacted our daily operations.,2,2024-08-06,g2,Vision Helpdesk - Help Desk,,
Support is unhelpful and lacks product knowledge.,1,2024-04-07,softwareadvice,Vision Helpdesk - Service Desk,,
Customer support is extremely slow to respond.,2,2024-02-06,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
Support is unhelpful and lacks product knowledge. It’s very frustrating to deal with.,2,2024-04-18,play_store,Vision Helpdesk - Help Desk,Mid-Market,
Support team gives generic replies without solving issues.,1,2024-10-26,capterra,Vision Helpdesk - Service Desk,,
Support team gives generic replies without solving issues.,2,2023-01-12,g2,Vision Helpdesk - Service Desk,Mid-Market,
We had to wait days for a meaningful response. We expected much better reliability.,1,2023-06-21,play_store,Vision Helpdesk - Satellite Desk,,
Customer support is extremely slow to respond. This has impacted our daily operations.,2,2023-07-16,softwareadvice,Vision Helpdesk - Help Desk,Small Business,
We had to wait days for a meaningful response. We expected much better reliability.,2,2024-02-08,g2,Vision Helpdesk - Help Desk,,
Support is unhelpful and lacks product knowledge.,2,2023-08-16,capterra,Vision Helpdesk - Satellite Desk,,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,1,2023-05-07,play_store,Vision Helpdesk - Help Desk,,
Issues remain unresolved despite multiple follow-ups. It’s very frustrating to deal with.,2,2023-03-17,g2,Vision Helpdesk - Satellite Desk,Small Business,
Issues remain unresolved despite multiple follow-ups. We expected much better reliability.,2,2023-07-12,softwareadvice,Vision Helpdesk - Live Chat,,
Customer support is extremely slow to respond. This has impacted our daily operations.,2,2024-03-19,g2,Vision Helpdesk - Help Desk,Enterprise,
Issues remain unresolved despite multiple follow-ups. This has impacted our daily operations.,1,2023-12-15,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
Support is unhelpful and lacks product knowledge.,1,2024-05-26,capterra,Vision Helpdesk - Service Desk,Small Business,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,2,2024-07-21,play_store,Vision Helpdesk - Satellite Desk,Mid-Market,
Issues remain unresolved despite multiple follow-ups. We expected much better reliability.,2,2024-09-26,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
Support is unhelpful and lacks product knowledge.,2,2024-03-06,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
Customer support is extremely slow to respond. This has impacted our daily operations.,2,2023-12-16,play_store,Vision Helpdesk - Live Chat,,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,1,2024-08-29,play_store,Vision Helpdesk - Live Chat,,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,1,2024-09-30,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
Issues remain unresolved despite multiple follow-ups.,1,2023-03-16,g2,Vision Helpdesk - Satellite Desk,Enterprise,
Support team gives generic replies without solving issues.,2,2023-01-30,softwareadvice,Vision Helpdesk - Service Desk,Small Business,
Support is unhelpful and lacks product knowledge. It’s very frustrating to deal with.,1,2024-07-08,capterra,Vision Helpdesk - Satellite Desk,,
Issues remain unresolved despite multiple follow-ups. It’s very frustrating to deal with.,2,2024-11-22,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
Issues remain unresolved despite multiple follow-ups.,2,2024-03-28,capterra,Vision Helpdesk - Service Desk,Enterprise,
Support team gives generic replies without solving issues. It’s very frustrating to deal with.,2,2023-07-20,capterra,Vision Helpdesk - Help Desk,Mid-Market,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,2,2023-01-18,capterra,Vision Helpdesk - Help Desk,Small Business,
Support team gives generic replies without solving issues. This has impacted our daily operations.,1,2023-12-30,capterra,Vision Helpdesk - Help Desk,Enterprise,
Customer support is extremely slow to respond.,2,2023-06-03,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
Customer support is extremely slow to respond. This has impacted our daily operations.,1,2023-01-31,capterra,Vision Helpdesk - Service Desk,Mid-Market,
Support team gives generic replies without solving issues. We expected much better reliability.,1,2024-06-17,softwareadvice,Vision Helpdesk - Service Desk,,
Issues remain unresolved despite multiple follow-ups. This has impacted our daily operations.,1,2023-05-28,softwareadvice,Vision Helpdesk - Live Chat,,
Issues remain unresolved despite multiple follow-ups.,2,2023-01-04,capterra,Vision Helpdesk - Help Desk,Enterprise,
We had to wait days for a meaningful response. We expected much better reliability.,2,2023-11-02,softwareadvice,Vision Helpdesk - Service Desk,Enterprise,
Support team gives generic replies without solving issues. This has impacted our daily operations.,1,2024-04-03,g2,Vision Helpdesk - Live Chat,Mid-Market,
Support team gives generic replies without solving issues. We expected much better reliability.,2,2024-11-15,g2,Vision Helpdesk - Satellite Desk,Enterprise,
Issues remain unresolved despite multiple follow-ups. It’s very frustrating to deal with.,1,2023-07-16,capterra,Vision Helpdesk - Service Desk,Enterprise,
Support is unhelpful and lacks product knowledge. This has impacted our daily operations.,1,2023-05-02,capterra,Vision Helpdesk - Satellite Desk,,
Issues remain unresolved despite multiple follow-ups. We expected much better reliability.,2,2023-04-21,capterra,Vision Helpdesk - Satellite Desk,Small Business,
Support is unhelpful and lacks product knowledge. This has impacted our daily operations.,2,2024-05-22,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
Support team gives generic replies without solving issues. It’s very frustrating to deal with.,2,2023-06-03,play_store,Vision Helpdesk - Service Desk,Small Business,
Issues remain unresolved despite multiple follow-ups. This has impacted our daily operations.,1,2023-07-01,g2,Vision Helpdesk - Satellite Desk,,
Issues remain unresolved despite multiple follow-ups. It’s very frustrating to deal with.,1,2024-10-21,capterra,Vision Helpdesk - Help Desk,,
Support is unhelpful and lacks product knowledge. It’s very frustrating to deal with.,1,2024-03-14,capterra,Vision Helpdesk - Satellite Desk,Small Business,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,2,2023-02-12,capterra,Vision Helpdesk - Service Desk,Small Business,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,1,2024-08-23,softwareadvice,Vision Helpdesk - Help Desk,Enterprise,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,2,2024-09-12,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
We had to wait days for a meaningful response. This has impacted our daily operations.,1,2024-11-29,play_store,Vision Helpdesk - Live Chat,,
Issues remain unresolved despite multiple follow-ups. This has impacted our daily operations.,1,2024-11-16,softwareadvice,Vision Helpdesk - Service Desk,Small Business,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,2,2023-08-27,capterra,Vision Helpdesk - Live Chat,Enterprise,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,2,2023-10-03,play_store,Vision Helpdesk - Satellite Desk,Mid-Market,
Customer support is extremely slow to respond.,2,2023-01-05,capterra,Vision Helpdesk - Satellite Desk,Small Business,
Support team gives generic replies without solving issues.,1,2023-06-08,capterra,Vision Helpdesk - Service Desk,Enterprise,
Support is unhelpful and lacks product knowledge. It’s very frustrating to deal with.,1,2024-10-29,g2,Vision Helpdesk - Help Desk,Mid-Market,
Support team gives generic replies without solving issues. This has impacted our daily operations.,2,2024-02-06,play_store,Vision Helpdesk - Service Desk,Small Business,
Support is unhelpful and lacks product knowledge. This has impacted our daily operations.,2,2023-07-20,capterra,Vision Helpdesk - Help Desk,Enterprise,
We had to wait days for a meaningful response.,2,2023-06-06,play_store,Vision Helpdesk - Help Desk,,
Support team gives generic replies without solving issues. It’s very frustrating to deal with.,1,2023-09-08,capterra,Vision Helpdesk - Service Desk,Small Business,
Support is unhelpful and lacks product knowledge. This has impacted our daily operations.,2,2024-09-18,play_store,Vision Helpdesk - Live Chat,Small Business,
Issues remain unresolved despite multiple follow-ups.,1,2024-12-03,softwareadvice,Vision Helpdesk - Service Desk,Small Business,
Support team gives generic replies without solving issues. We expected much better reliability.,1,2024-01-26,capterra,Vision Helpdesk - Live Chat,Mid-Market,
Customer support is extremely slow to respond. We expected much better reliability.,1,2024-12-29,g2,Vision Helpdesk - Satellite Desk,,
Customer support is extremely slow to respond. We expected much better reliability.,1,2023-08-20,g2,Vision Helpdesk - Help Desk,Enterprise,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,1,2023-05-27,capterra,Vision Helpdesk - Live Chat,Enterprise,
Support team gives generic replies without solving issues.,1,2024-10-26,g2,Vision Helpdesk - Help Desk,,
Issues remain unresolved despite multiple follow-ups. We expected much better reliability.,2,2024-11-09,softwareadvice,Vision Helpdesk - Service Desk,,
Support team gives generic replies without solving issues. This has impacted our daily operations.,2,2023-10-10,play_store,Vision Helpdesk - Service Desk,Enterprise,
We had to wait days for a meaningful response. This has impacted our daily operations.,2,2023-11-30,play_store,Vision Helpdesk - Help Desk,Small Business,
Customer support is extremely slow to respond.,1,2023-04-26,g2,Vision Helpdesk - Satellite Desk,Small Business,
Customer support is extremely slow to respond.,2,2024-03-13,play_store,Vision Helpdesk - Help Desk,,
Support is unhelpful and lacks product knowledge. It’s very frustrating to deal with.,2,2024-05-27,play_store,Vision Helpdesk - Live Chat,,
Customer support is extremely slow to respond. We expected much better reliability.,1,2023-10-11,play_store,Vision Helpdesk - Service Desk,Mid-Market,
Support team gives generic replies without solving issues. This has impacted our daily operations.,1,2024-12-25,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
Issues remain unresolved despite multiple follow-ups. We expected much better reliability.,2,2024-01-09,play_store,Vision Helpdesk - Service Desk,Enterprise,
Support is unhelpful and lacks product knowledge.,1,2023-11-21,g2,Vision Helpdesk - Service Desk,,
Support team gives generic replies without solving issues. This has impacted our daily operations.,1,2024-08-26,g2,Vision Helpdesk - Help Desk,,
Issues remain unresolved despite multiple follow-ups. This has impacted our daily operations.,1,2024-08-17,play_store,Vision Helpdesk - Live Chat,,
Support team gives generic replies without solving issues. This has impacted our daily operations.,2,2024-11-23,g2,Vision Helpdesk - Help Desk,,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,1,2024-11-30,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
We had to wait days for a meaningful response. This has impacted our daily operations.,1,2024-10-27,capterra,Vision Helpdesk - Help Desk,Small Business,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,1,2023-04-21,softwareadvice,Vision Helpdesk - Live Chat,Small Business,
Issues remain unresolved despite multiple follow-ups.,1,2024-11-23,softwareadvice,Vision Helpdesk - Satellite Desk,Small Business,
Customer support is extremely slow to respond. This has impacted our daily operations.,1,2024-07-27,softwareadvice,Vision Helpdesk - Help Desk,,
Support is unhelpful and lacks product knowledge.,1,2024-04-26,play_store,Vision Helpdesk - Service Desk,,
Customer support is extremely slow to respond. It’s very frustrating to deal with.,1,2024-08-16,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
Issues remain unresolved despite multiple follow-ups. This has impacted our daily operations.,2,2024-06-02,capterra,Vision Helpdesk - Service Desk,Mid-Market,
Customer support is extremely slow to respond. It’s very frustrating to deal with.,1,2024-03-19,capterra,Vision Helpdesk - Live Chat,Small Business,
Issues remain unresolved despite multiple follow-ups.,1,2024-11-21,play_store,Vision Helpdesk - Service Desk,,
Support is unhelpful and lacks product knowledge. This has impacted our daily operations.,1,2024-07-29,softwareadvice,Vision Helpdesk - Help Desk,,
Support is unhelpful and lacks product knowledge.,2,2023-02-28,play_store,Vision Helpdesk - Live Chat,Mid-Market,
We had to wait days for a meaningful response.,1,2024-04-07,softwareadvice,Vision Helpdesk - Satellite Desk,,
Support is unhelpful and lacks product knowledge. It’s very frustrating to deal with.,1,2023-02-06,g2,Vision Helpdesk - Live Chat,Small Business,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,2,2024-04-12,g2,Vision Helpdesk - Satellite Desk,Small Business,
Issues remain unresolved despite multiple follow-ups. We expected much better reliability.,1,2023-12-18,softwareadvice,Vision Helpdesk - Satellite Desk,,
Support team gives generic replies without solving issues.,1,2024-01-03,softwareadvice,Vision Helpdesk - Live Chat,Enterprise,
Support team gives generic replies without solving issues. It’s very frustrating to deal with.,1,2024-04-26,play_store,Vision Helpdesk - Service Desk,Small Business,
Support team gives generic replies without solving issues.,1,2023-06-10,capterra,Vision Helpdesk - Live Chat,Mid-Market,
We had to wait days for a meaningful response.,2,2023-10-06,capterra,Vision Helpdesk - Satellite Desk,Small Business,
Support is unhelpful and lacks product knowledge. This has impacted our daily operations.,1,2023-03-07,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
Customer support is extremely slow to respond. We expected much better reliability.,1,2023-12-25,capterra,Vision Helpdesk - Help Desk,Small Business,
Support team gives generic replies without solving issues. We expected much better reliability.,1,2023-08-18,play_store,Vision Helpdesk - Help Desk,,
Issues remain unresolved despite multiple follow-ups.,2,2024-04-12,g2,Vision Helpdesk - Live Chat,Enterprise,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,2,2023-06-06,g2,Vision Helpdesk - Satellite Desk,Enterprise,
